,Â°C,mm,%,W/m2,km/h
Time,Temperature,Precipitation,Cloud Cover,Shortwave Radiation,Wind Speed 
2019-1-18 0:00:00,15.44,0,30,0,2.41
2019-1-18 1:00:00,15.48,0,30,0,2.31
2019-1-18 2:00:00,15.27,0,30,0,2.1
2019-1-18 3:00:00,15.12,0,30,0,3.42
2019-1-18 4:00:00,15.31,0,100,0,4.83
2019-1-18 5:00:00,15.32,0,16.2,0,6.3
2019-1-18 6:00:00,15.58,0,15.6,24.92,7.99
2019-1-18 7:00:00,18.05,0,11.1,224.28,2.97
2019-1-18 8:00:00,19.04,0,29.7,446.78,5.69
2019-1-18 9:00:00,19.49,0,30,616.77,9.18
2019-1-18 10:00:00,19.46,0,36,641.69,11.97
2019-1-18 11:00:00,19.65,0,100,472.59,13.55
2019-1-18 12:00:00,19.69,0,100,472.59,15.04
2019-1-18 13:00:00,19.24,0,100,378.25,13.49
2019-1-18 14:00:00,19.04,0,100,305.27,14.11
2019-1-18 15:00:00,18.51,0,100,329.3,13.51
2019-1-18 16:00:00,17.48,0,100,231.4,12.22
2019-1-18 17:00:00,16.36,0,100,113.92,11.46
2019-1-18 18:00:00,15.34,0,100,53.4,9.59
2019-1-18 19:00:00,14.85,0,100,3.56,7.41
2019-1-18 20:00:00,14.57,0,100,0,5.96
2019-1-18 21:00:00,14.39,0,100,0,5
2019-1-18 22:00:00,13.99,0,100,0,4.1
2019-1-18 23:00:00,13.65,0,100,0,1.8
2019-1-19 0:00:00,13.67,0,100,0,2.52
2019-1-19 1:00:00,13.68,0,100,0,4.35
2019-1-19 2:00:00,13.72,0,11,0,7.99
2019-1-19 3:00:00,14.29,0,17,0,10.2
2019-1-19 4:00:00,14.33,0,8,0,11.99
2019-1-19 5:00:00,13.74,0,5.1,0,15.12
2019-1-19 6:00:00,13.9,0,15.9,24.03,15.86
2019-1-19 7:00:00,17.75,0,23,221.61,7.42
2019-1-19 8:00:00,18.96,0,6.3,451.23,2.81
2019-1-19 9:00:00,19.6,0,0.9,656.82,6.19
2019-1-19 10:00:00,19.97,0,0,833.04,15.19
2019-1-19 11:00:00,19.17,0,43,670.17,15.95
2019-1-19 12:00:00,20.27,0,21,401.39,10.5
2019-1-19 13:00:00,20.98,0,100,438.77,10.44
2019-1-19 14:00:00,20.15,0,100,353.33,13.39
2019-1-19 15:00:00,19.57,0,100,305.27,12.98
2019-1-19 16:00:00,19.18,0,100,342.65,12.03
2019-1-19 17:00:00,18.21,0,100,176.22,10.97
2019-1-19 18:00:00,17.4,0,100,86.33,8.65
2019-1-19 19:00:00,16.35,0,100,9.79,6.11
2019-1-19 20:00:00,15.89,0,100,0,2.28
2019-1-19 21:00:00,16.03,0,63,0,1.44
2019-1-19 22:00:00,15.69,0,30,0,1.14
2019-1-19 23:00:00,15.66,0,30,0,2.19
2019-1-20 0:00:00,16.23,0,30,0,1.8
2019-1-20 1:00:00,16.53,0,30,0,0.72
2019-1-20 2:00:00,16.65,0,28.5,0,0.51
2019-1-20 3:00:00,16.73,0,9,0,2.1
2019-1-20 4:00:00,16.8,0,30,0,3.6
2019-1-20 5:00:00,16.6,0,30,0,4.61
2019-1-20 6:00:00,16.8,0,21,22.25,4.84
2019-1-20 7:00:00,17.39,0.1,100,35.6,15.78
2019-1-20 8:00:00,19.65,0,100,129.94,12.07
2019-1-20 9:00:00,21.74,0,100,383.59,4.9
2019-1-20 10:00:00,21.71,0,100,537.56,11.46
2019-1-20 11:00:00,22.8,0,100,732.47,13.68
2019-1-20 12:00:00,21.79,0.3,89,655.04,12.82
2019-1-20 13:00:00,20.71,0.8,94,336.42,14.76
2019-1-20 14:00:00,18.88,1.5,100,219.83,8.09
2019-1-20 15:00:00,18.81,0.4,100,129.94,5.76
2019-1-20 16:00:00,19.72,0,84,259.88,10.81
2019-1-20 17:00:00,18.7,0.3,100,246.53,9.67
2019-1-20 18:00:00,18.04,0.5,100,48.06,6.79
2019-1-20 19:00:00,17.55,0,30,3.56,4.2
2019-1-20 20:00:00,16.97,0,30,0,2.62
2019-1-20 21:00:00,17.18,0,30,0,1.14
2019-1-20 22:00:00,16.79,0,29.1,0,1.08
2019-1-20 23:00:00,16.58,0,6.3,0,1.84
2019-1-21 0:00:00,16.32,0,6.3,0,3.62
2019-1-21 1:00:00,15.95,0,4.8,0,5.69
2019-1-21 2:00:00,15.77,0,1.2,0,8.22
2019-1-21 3:00:00,15.01,0,1.8,0,11.75
2019-1-21 4:00:00,13.87,0,1.8,0,14.76
2019-1-21 5:00:00,13.16,0,1.8,0,17.34
2019-1-21 6:00:00,13.95,0,1.2,22.25,18.39
2019-1-21 7:00:00,18.7,0,8.7,219.83,3.32
2019-1-21 8:00:00,19.68,0,8.7,448.56,3.6
2019-1-21 9:00:00,20.02,0,6.3,654.15,10.19
2019-1-21 10:00:00,20.58,0,100,820.58,13.85
2019-1-21 11:00:00,20.67,0,100,644.36,14.66
2019-1-21 12:00:00,20.41,0,37,399.61,11.75
2019-1-21 13:00:00,21.24,0,100,558.92,13
2019-1-21 14:00:00,20.36,0,100,414.74,14.29
2019-1-21 15:00:00,19.6,0,100,294.59,14.57
2019-1-21 16:00:00,18.71,0,100,254.54,11.48
2019-1-21 17:00:00,18.09,0,100,162.87,8.59
2019-1-21 18:00:00,17.04,0,100,76.54,9.16
2019-1-21 19:00:00,16.35,0.3,100,5.34,8.4
2019-1-21 20:00:00,16,0.2,100,0,4.9
2019-1-21 21:00:00,15.89,0,100,0,3.6
2019-1-21 22:00:00,15.83,0,100,0,0.51
2019-1-21 23:00:00,15.84,0,30,0,1.53
2019-1-22 0:00:00,15.58,0,14,0,2.81
2019-1-22 1:00:00,15.24,0,18,0,3.55
2019-1-22 2:00:00,15.04,0,7,0,5.8
2019-1-22 3:00:00,15.11,0,2.4,0,7.15
2019-1-22 4:00:00,15.19,0,4.5,0,8.65
2019-1-22 5:00:00,15.15,0,4.2,0,10.95
2019-1-22 6:00:00,15.1,0,10,20.47,12.74
2019-1-22 7:00:00,18.35,0,1.5,218.94,12.68
2019-1-22 8:00:00,20.9,0,3.6,451.23,5.4
2019-1-22 9:00:00,21.33,0,1.2,659.49,5.96
2019-1-22 10:00:00,20.4,0,100,825.92,13.04
2019-1-22 11:00:00,18.22,0,100,493.06,16.64
2019-1-22 12:00:00,18.36,0,100,299.93,13.28
2019-1-22 13:00:00,18,0,100,267.89,13.49
2019-1-22 14:00:00,18.59,0,100,385.37,11.75
2019-1-22 15:00:00,17.81,0,100,306.16,12.77
2019-1-22 16:00:00,17.94,0,100,206.48,9.16
2019-1-22 17:00:00,17.47,0,100,156.64,9.69
2019-1-22 18:00:00,16.61,0,100,58.74,7.99
2019-1-22 19:00:00,16.09,0,100,3.56,4.58
2019-1-22 20:00:00,15.91,0,100,0,3.42
2019-1-22 21:00:00,15.72,0,100,0,4.68
2019-1-22 22:00:00,15.68,0,100,0,3.71
2019-1-22 23:00:00,15.68,0,100,0,2.9
2019-1-23 0:00:00,15.79,0,100,0,2.81
2019-1-23 1:00:00,15.65,0,100,0,5.5
2019-1-23 2:00:00,15.7,0,98,0,8.59
2019-1-23 3:00:00,15.29,0,59,0,11.53
2019-1-23 4:00:00,14.76,0,15,0,15.12
2019-1-23 5:00:00,13.69,0,10.2,0,18.79
2019-1-23 6:00:00,14.06,0,7.5,20.47,21.82
2019-1-23 7:00:00,18.45,0,28,214.49,5.69
2019-1-23 8:00:00,19.53,0,16,445,2.1
2019-1-23 9:00:00,19.76,0,9,650.59,8.5
2019-1-23 10:00:00,20.58,0,9.3,816.13,11.61
2019-1-23 11:00:00,22.06,0.1,79,752.05,11.87
2019-1-23 12:00:00,22.97,0.1,30,448.56,9.89
2019-1-23 13:00:00,22.57,0.1,79,776.08,14
2019-1-23 14:00:00,21.14,0.1,64,229.62,11.25
2019-1-23 15:00:00,20.29,0,100,216.27,10.3
2019-1-23 16:00:00,20.08,0,100,238.52,7.9
2019-1-23 17:00:00,19.45,0,100,256.32,10.51
2019-1-23 18:00:00,18.4,0.2,100,61.41,8.05
2019-1-23 19:00:00,17.85,0,100,2.67,5.05
2019-1-23 20:00:00,17.64,0,100,0,4.9
2019-1-23 21:00:00,17.79,0,100,0,4.1
2019-1-23 22:00:00,17.74,0.2,100,0,4.45
2019-1-23 23:00:00,17.54,0,100,0,2.41
2019-1-24 0:00:00,17.23,0,67,0,1.8
2019-1-24 1:00:00,16.9,0,100,0,2.81
2019-1-24 2:00:00,16.7,0,100,0,3.32
2019-1-24 3:00:00,16.33,0,100,0,4.83
2019-1-24 4:00:00,16.4,0,100,0,7.79
2019-1-24 5:00:00,16.61,0,100,0,10.46
2019-1-24 6:00:00,17.31,0,100,13.35,11.71
2019-1-24 7:00:00,17.67,0.1,100,31.15,15.78
2019-1-24 8:00:00,18.69,0,100,89.89,7.64
2019-1-24 9:00:00,20.45,0,89,426.31,1.84
2019-1-24 10:00:00,21.49,0,54,802.78,5.63
2019-1-24 11:00:00,22.18,0.1,74,922.93,10.51
2019-1-24 12:00:00,19.84,0.8,82,364.01,13.28
2019-1-24 13:00:00,19.36,0.5,100,246.53,11.27
2019-1-24 14:00:00,19.21,0.2,100,176.22,6.62
2019-1-24 15:00:00,19.47,0,100,166.43,5.63
2019-1-24 16:00:00,19.21,0,100,144.18,9.39
2019-1-24 17:00:00,17.83,0,100,69.42,8.85
2019-1-24 18:00:00,17.08,0,100,23.14,5
2019-1-24 19:00:00,17.63,0,100,0.89,2.19
2019-1-24 20:00:00,17.79,0,100,0,2.88
2019-1-24 21:00:00,16.5,0,100,0,3.98
2019-1-24 22:00:00,16.57,0,100,0,0.8
2019-1-24 23:00:00,16.53,0,100,0,5.4
2019-1-25 0:00:00,16.49,0,30,0,5.62
2019-1-25 1:00:00,15.98,0,30,0,6.7
2019-1-25 2:00:00,15.91,0,30,0,8.44
2019-1-25 3:00:00,16,0,30,0,10.7
2019-1-25 4:00:00,15.78,0,30,0,12.48
2019-1-25 5:00:00,15.22,0,30,0,15.07
2019-1-25 6:00:00,15.62,0,30,15.13,16.87
2019-1-25 7:00:00,17.92,0,0,204.7,19.62
2019-1-25 8:00:00,22.04,0,0,446.78,8.79
2019-1-25 9:00:00,23.14,0,0,668.39,4.61
2019-1-25 10:00:00,22.15,0,0,848.17,12.6
2019-1-25 11:00:00,20.55,0,100,882.88,15.63
2019-1-25 12:00:00,18.97,0,100,424.53,16.78
2019-1-25 13:00:00,17.67,0,100,250.09,14.98
2019-1-25 14:00:00,19.01,0,19,365.79,12.56
2019-1-25 15:00:00,19.25,0,100,359.56,11.49
2019-1-25 16:00:00,19.42,0,21,302.6,10.2
2019-1-25 17:00:00,18.78,0,62,206.48,9.96
2019-1-25 18:00:00,18,0,19,97.9,8.4
2019-1-25 19:00:00,16.82,0,34,7.12,6.37
2019-1-25 20:00:00,16.27,0,100,0,2.9
2019-1-25 21:00:00,16.05,0,100,0,4.8
2019-1-25 22:00:00,16.23,0,100,0,1.84
2019-1-25 23:00:00,16.41,0,100,0,0.8
2019-1-26 0:00:00,16.29,0,100,0,1.8
2019-1-26 1:00:00,16.12,0,100,0,3.32
2019-1-26 2:00:00,15.89,0,100,0,4.2
2019-1-26 3:00:00,15.64,0,100,0,4.35
2019-1-26 4:00:00,15.68,0,100,0,3.62
2019-1-26 5:00:00,15.64,0,100,0,4.07
2019-1-26 6:00:00,15.94,0,0,16.91,8.65
2019-1-26 7:00:00,18.85,0,80,207.37,7.9
2019-1-26 8:00:00,20.03,0,3,442.33,1.8
2019-1-26 9:00:00,20.52,0,4.8,654.15,6.19
2019-1-26 10:00:00,20.45,0,100,799.22,13.78
2019-1-26 11:00:00,18.25,0.1,100,335.53,12.82
2019-1-26 12:00:00,19.71,0,75,383.59,9.09
2019-1-26 13:00:00,20.97,0,55,527.77,9.5
2019-1-26 14:00:00,20.01,0,100,452.12,10.37
2019-1-26 15:00:00,18.87,0.1,100,259.88,12.39
2019-1-26 16:00:00,18.38,0,100,194.91,8.7
2019-1-26 17:00:00,18.02,0,100,108.58,10.03
2019-1-26 18:00:00,16.99,0,100,65.86,9.29
2019-1-26 19:00:00,16.65,0,100,4.45,6.21
2019-1-26 20:00:00,16.55,0,100,0,4.21
2019-1-26 21:00:00,16.33,0,100,0,4.35
2019-1-26 22:00:00,16.42,0,100,0,1.3
2019-1-26 23:00:00,16.46,0,100,0,1.44
2019-1-27 0:00:00,16.09,0,100,0,2.97
2019-1-27 1:00:00,15.68,0,100,0,5.5
2019-1-27 2:00:00,15.59,0,16,0,9.93
2019-1-27 3:00:00,15.64,0,17,0,14.51
2019-1-27 4:00:00,15.54,0,100,0,15.79
2019-1-27 5:00:00,16.27,0,100,0,11.2
2019-1-27 6:00:00,16.7,0,100,15.13,10.95
2019-1-27 7:00:00,18.74,0,67,176.22,10
2019-1-27 8:00:00,20.31,0,60,434.32,4.21
2019-1-27 9:00:00,20.7,0,2.4,643.47,2.19
2019-1-27 10:00:00,18.58,0.6,100,552.69,10.2
2019-1-27 11:00:00,17.03,1,100,189.57,13.55
2019-1-27 12:00:00,17.41,0.1,100,234.07,11.81
2019-1-27 13:00:00,18.85,0,100,339.09,9.45
2019-1-27 14:00:00,19.6,0,100,404.06,11.48
2019-1-27 15:00:00,18.83,0,100,343.54,10.59
2019-1-27 16:00:00,17.96,0.3,100,205.59,10.01
2019-1-27 17:00:00,17.08,0.6,100,121.93,11.75
2019-1-27 18:00:00,16.49,0.5,100,45.39,8.89
2019-1-27 19:00:00,15.9,0,100,2.67,6.61
2019-1-27 20:00:00,15.61,0,100,0,4.1
2019-1-27 21:00:00,15.45,0,100,0,2.52
2019-1-27 22:00:00,15.46,0,21,0,2.16
2019-1-27 23:00:00,15.58,0,28.2,0,3.56
2019-1-28 0:00:00,15.45,0,30,0,3.55
2019-1-28 1:00:00,15.05,0,68,0,4.07
2019-1-28 2:00:00,14.94,0,51,0,4.69
2019-1-28 3:00:00,14.9,0,7.8,0,4.9
2019-1-28 4:00:00,14.87,0,12.9,0,5.62
2019-1-28 5:00:00,14.92,0,30,0,5.62
2019-1-28 6:00:00,15.16,0,36,15.13,5.86
2019-1-28 7:00:00,15.76,0,100,105.91,5.94
2019-1-28 8:00:00,15.87,0.1,100,191.35,7.9
2019-1-28 9:00:00,16.19,0.1,100,194.91,10.03
2019-1-28 10:00:00,17.4,0,100,226.06,10.48
2019-1-28 11:00:00,17.94,0,60,309.72,11.75
2019-1-28 12:00:00,18.62,0,100,424.53,11.46
2019-1-28 13:00:00,17.49,0,100,295.48,10.46
2019-1-28 14:00:00,16.68,0.1,100,151.3,10.97
2019-1-28 15:00:00,16.18,0.2,100,108.58,12.98
2019-1-28 16:00:00,15.86,0.2,100,88.11,11.68
2019-1-28 17:00:00,15.74,0.1,100,81.88,10.69
2019-1-28 18:00:00,15.45,0.2,100,47.17,9.83
2019-1-28 19:00:00,15.33,0.3,100,2.67,9.66
2019-1-28 20:00:00,15.19,0.5,100,0,10.14
2019-1-28 21:00:00,15.04,0.7,100,0,9.2
2019-1-28 22:00:00,14.68,0.8,100,0,7.99
2019-1-28 23:00:00,14.39,1.1,100,0,8.5
2019-1-29 0:00:00,14.18,0.7,100,0,8.94
2019-1-29 1:00:00,13.95,0.1,100,0,9.09
2019-1-29 2:00:00,13.79,0,100,0,8.23
2019-1-29 3:00:00,13.63,0,100,0,7.57
2019-1-29 4:00:00,13.46,0.1,100,0,6.29
2019-1-29 5:00:00,13.39,0.1,100,0,5.82
2019-1-29 6:00:00,13.41,0,100,8.01,6.64
2019-1-29 7:00:00,14.19,0,100,47.17,6.95
2019-1-29 8:00:00,14.36,0.1,100,90.78,8.89
2019-1-29 9:00:00,14.49,0.1,100,146.85,10.31
2019-1-29 10:00:00,14.72,0,100,194.91,11.61
2019-1-29 11:00:00,15.22,0,100,275.01,12.41
2019-1-29 12:00:00,15.26,0,100,364.01,13.09
2019-1-29 13:00:00,15.25,0,100,236.74,14.69
2019-1-29 14:00:00,15.06,0,100,191.35,13.9
2019-1-29 15:00:00,15.19,0.1,100,147.74,11.68
2019-1-29 16:00:00,15.01,0.1,100,96.12,12.18
2019-1-29 17:00:00,14.99,0.9,100,54.29,12.6
2019-1-29 18:00:00,15.08,1.7,100,24.92,13.04
2019-1-29 19:00:00,15.08,1.7,100,1.78,13.49
2019-1-29 20:00:00,14.84,1.4,100,0,13.76
2019-1-29 21:00:00,14.42,1.1,100,0,12.74
2019-1-29 22:00:00,13.89,0.5,100,0,10.44
2019-1-29 23:00:00,13.56,0.1,100,0,8.4
2019-1-30 0:00:00,13.42,0.1,100,0,6.99
2019-1-30 1:00:00,13.36,0.2,100,0,6.61
2019-1-30 2:00:00,13.21,0.6,100,0,6.29
2019-1-30 3:00:00,13.05,0.2,100,0,5.59
2019-1-30 4:00:00,12.87,0,100,0,5.45
2019-1-30 5:00:00,12.71,0,100,0,5.09
2019-1-30 6:00:00,12.75,0.1,100,3.56,4.68
2019-1-30 7:00:00,13.88,0.2,100,87.22,4.33
2019-1-30 8:00:00,15.04,0,100,234.07,9.39
2019-1-30 9:00:00,15.46,0.1,100,336.42,11.81
2019-1-30 10:00:00,15.42,0,100,376.47,12.18
2019-1-30 11:00:00,15.67,0.1,100,326.63,14.02
2019-1-30 12:00:00,15.56,0.2,100,293.7,15.19
2019-1-30 13:00:00,15.31,0.1,100,244.75,13.28
2019-1-30 14:00:00,15.27,0.1,100,162.87,11.02
2019-1-30 15:00:00,15.41,0,100,143.29,10.7
2019-1-30 16:00:00,15.48,0.5,100,97.01,12.22
2019-1-30 17:00:00,15.52,1,100,64.08,13.49
2019-1-30 18:00:00,15.34,1.4,100,32.04,14.26
2019-1-30 19:00:00,15.19,1.5,100,1.78,13.28
2019-1-30 20:00:00,15.21,1.6,100,0,11.81
2019-1-30 21:00:00,15.14,1.3,100,0,10.38
2019-1-30 22:00:00,15.05,1,100,0,8.37
2019-1-30 23:00:00,15.01,0.7,100,0,6.88
2019-1-31 0:00:00,14.91,0.2,100,0,6.29
2019-1-31 1:00:00,14.68,0,100,0,6.3
2019-1-31 2:00:00,14.78,0,100,0,6.57
2019-1-31 3:00:00,14.67,0,100,0,5.05
2019-1-31 4:00:00,14.25,0,100,0,2.88
2019-1-31 5:00:00,14.03,0,100,0,2.28
2019-1-31 6:00:00,14.17,0,100,4.45,2.55
2019-1-31 7:00:00,15.9,0,100,144.18,4.45
2019-1-31 8:00:00,18.03,0,100,358.67,1.53
2019-1-31 9:00:00,17.63,0,100,420.97,5.19
2019-1-31 10:00:00,16.74,1,100,265.22,7.93
2019-1-31 11:00:00,16.25,1,100,178.89,13.83
2019-1-31 12:00:00,15.92,1.2,100,142.4,13.32
2019-1-31 13:00:00,16.05,1.3,100,120.15,10.3
2019-1-31 14:00:00,16.17,0.8,100,147.74,5.35
2019-1-31 15:00:00,16.42,0.7,100,146.85,6.99
2019-1-31 16:00:00,16.26,0.9,100,157.53,9.45
2019-1-31 17:00:00,15.96,0.7,100,136.17,9.45
2019-1-31 18:00:00,15.58,0.8,100,63.19,10.97
2019-1-31 19:00:00,15.54,1.1,100,2.67,10.01
2019-1-31 20:00:00,15.45,1.1,100,0,7.79
2019-1-31 21:00:00,15.2,0.7,100,0,6.44
2019-1-31 22:00:00,14.85,0.4,100,0,4.02
2019-1-31 23:00:00,14.75,0,100,0,2.88
2019-2-1 0:00:00,14.66,0,100,0,4.02
2019-2-1 1:00:00,14.67,0,100,0,3.32
2019-2-1 2:00:00,14.61,0,100,0,3.08
2019-2-1 3:00:00,14.51,0,100,0,3.55
2019-2-1 4:00:00,14.41,0,100,0,3.55
2019-2-1 5:00:00,14.21,0,100,0,4.21
2019-2-1 6:00:00,14.25,0,100,8.01,5.35
2019-2-1 7:00:00,15.46,0,100,123.71,6.88
2019-2-1 8:00:00,16.76,0,20,299.93,9
2019-2-1 9:00:00,17.97,0,37,550.02,12.41
2019-2-1 10:00:00,16.97,0,100,485.94,13.48
2019-2-1 11:00:00,16.59,0,81,384.48,12.56
2019-2-1 12:00:00,17.14,0,50,405.84,11.97
2019-2-1 13:00:00,17.82,0,59,642.58,14.65
2019-2-1 14:00:00,17.32,0,73,379.14,13.71
2019-2-1 15:00:00,16.85,0,45,318.62,13.09
2019-2-1 16:00:00,16.36,0,100,253.65,11.12
2019-2-1 17:00:00,15.92,0,100,181.56,9.83
2019-2-1 18:00:00,15.52,0,100,130.83,8.7
2019-2-1 19:00:00,14.74,0,100,10.68,6.52
2019-2-1 20:00:00,14.76,0,100,0,4.45
2019-2-1 21:00:00,14.89,0,100,0,3.56
2019-2-1 22:00:00,14.16,0,50,0,3.98
2019-2-1 23:00:00,14.23,0,3.6,0,4.84
